appendix_table,study_label,sample,covariate_class,cate,se,p_value,ci_low,ci_high,n,prop
4,Caprariello and Reis (2013),mt,Ideology: Conservative,-0.10,0.12,0.41,-0.35,0.14,262,0.10
5,Chong and Druckman (2010),original,Age: 18 - 39,0.68,0.12,0.00,0.44,0.92,231,0.12
5,Chong and Druckman (2010),original,Age: 40 - 59,0.88,0.09,0.00,0.69,1.06,380,0.20
5,Chong and Druckman (2010),original,Age: More than 60,0.81,0.11,0.00,0.59,1.02,347,0.18
5,Chong and Druckman (2010),original,Party ID: Democrat,0.75,0.09,0.00,0.56,0.93,413,0.22
5,Chong and Druckman (2010),original,Party ID: Independent,0.89,0.13,0.00,0.64,1.14,213,0.11
5,Chong and Druckman (2010),original,Party ID: Republican,0.81,0.10,0.00,0.61,1.01,332,0.17
5,Chong and Druckman (2010),original,Race: White,0.79,0.07,0.00,0.65,0.93,699,0.36
5,Chong and Druckman (2010),original,Race: Nonwhite,0.85,0.12,0.00,0.62,1.08,259,0.14
5,Chong and Druckman (2010),original,Education: Less than College,0.81,0.08,0.00,0.65,0.96,528,0.28
5,Chong and Druckman (2010),original,Education: College,0.82,0.12,0.00,0.58,1.05,281,0.15
5,Chong and Druckman (2010),original,Education: Graduate School,0.80,0.17,0.00,0.47,1.13,149,0.08
5,Chong and Druckman (2010),original,Gender: Male,0.73,0.09,0.00,0.55,0.91,495,0.26
5,Chong and Druckman (2010),original,Gender: Female,0.88,0.08,0.00,0.71,1.04,463,0.24
5,Chong and Druckman (2010),mt,Age: 18 - 39,0.54,0.06,0.00,0.41,0.66,1056,0.38
5,Chong and Druckman (2010),mt,Age: 40 - 59,0.74,0.12,0.00,0.50,0.98,298,0.11
5,Chong and Druckman (2010),mt,Age: More than 60,1.19,0.31,0.00,0.57,1.80,46,0.02
5,Chong and Druckman (2010),mt,Party ID: Democrat,0.56,0.07,0.00,0.42,0.69,812,0.29
5,Chong and Druckman (2010),mt,Party ID: Independent,0.61,0.12,0.00,0.37,0.85,264,0.09
5,Chong and Druckman (2010),mt,Party ID: Republican,0.69,0.11,0.00,0.48,0.90,324,0.12
5,Chong and Druckman (2010),mt,Race: White,0.64,0.06,0.00,0.52,0.77,959,0.34
5,Chong and Druckman (2010),mt,Race: Nonwhite,0.52,0.09,0.00,0.33,0.70,441,0.16
5,Chong and Druckman (2010),mt,Education: Less than College,0.68,0.08,0.00,0.53,0.83,677,0.24
5,Chong and Druckman (2010),mt,Education: College,0.54,0.09,0.00,0.36,0.71,546,0.20
5,Chong and Druckman (2010),mt,Education: Graduate School,0.53,0.16,0.00,0.21,0.85,177,0.06
5,Chong and Druckman (2010),mt,Gender: Male,0.50,0.07,0.00,0.35,0.64,809,0.29
5,Chong and Druckman (2010),mt,Gender: Female,0.74,0.08,0.00,0.58,0.89,591,0.21
6,Craig and Richeson (2014),original,Age: 18 - 39,0.23,0.16,0.16,-0.09,0.55,188,0.15
6,Craig and Richeson (2014),original,Age: 40 - 59,-0.14,0.16,0.37,-0.45,0.17,237,0.19
6,Craig and Richeson (2014),original,Age: More than 60,-0.18,0.15,0.23,-0.48,0.12,183,0.15
6,Craig and Richeson (2014),original,Party ID: Democrat,0.14,0.14,0.31,-0.13,0.41,298,0.25
6,Craig and Richeson (2014),original,Party ID: Independent,-0.00,0.56,1.00,-1.18,1.18,18,0.01
6,Craig and Richeson (2014),original,Party ID: Republican,-0.19,0.13,0.16,-0.46,0.08,292,0.24
6,Craig and Richeson (2014),original,Race: White,-0.13,0.10,0.22,-0.33,0.08,464,0.38
6,Craig and Richeson (2014),original,Race: Nonwhite,0.23,0.19,0.23,-0.15,0.60,144,0.12
