study_label,group_label,difference,estimate_mt,conf.low_mt,conf.high_mt,estimate_original,conf.low_original,conf.high_original
Flavin (2011),Age: 18 - 39,Not Significant,-0.3904407310095752,-0.5277035766176583,-0.253177885401492,-0.6537597136309345,-0.9559848273026368,-0.3515345999592323
Flavin (2011),Age: 40 - 59,Not Significant,-0.566337082693054,-0.8578948339504227,-0.2747793314356855,-0.7414903638885861,-1.0219447868990506,-0.46103594087812166
Flavin (2011),Age: More than 60,Not Significant,-0.6791046811482251,-1.6847802533007816,0.32657089100433145,-0.8448053103410206,-1.1457464773437809,-0.5438641433382605
Flavin (2011),College,Not Significant,-0.4333525139013424,-0.6446129528401965,-0.2220920749624883,-0.3889876849867524,-0.7868989215209563,0.00892355154745155
Flavin (2011),Graduate School,Not Significant,-0.6489984691332364,-1.050483080719459,-0.24751385754701405,-0.3868442757866318,-0.8720894874252929,0.0984009358520294
Flavin (2011),Less than College,Significant,-0.3829974560383452,-0.5485881580345782,-0.21740675404211224,-0.8670806297112216,-1.074634783443004,-0.6595264759794391
Flavin (2011),Men,Significant,-0.30975695905253087,-0.4966282901500826,-0.12288562795497918,-0.7509732811295893,-0.998530738396849,-0.5034158238623295
Flavin (2011),Women,Not Significant,-0.5604495838655635,-0.7208973136077256,-0.4000018541234015,-0.7219935602307611,-0.966460240464366,-0.47752687999715615
Flavin (2011),Conservative,Not Significant,-0.9808398976048744,-1.2860188941737891,-0.6756609010359595,-0.86640739515211,-1.1524878410259771,-0.5803269492782429
Flavin (2011),Liberal,Significant,-0.3449651510188846,-0.4876838640091977,-0.20224643802857148,-0.7130808764496519,-1.0393462632340915,-0.3868154896652123
Flavin (2011),Moderate,Not Significant,-0.23913756533389535,-0.48844389046672937,0.01016875979893861,-0.5880667963266917,-0.883378046455467,-0.29275554619791627
Flavin (2011),Democrat,Significant,-0.30844171024066247,-0.4455598963222809,-0.17132352415904406,-0.6792484707551836,-0.9138005576485542,-0.44469638386181304
Flavin (2011),Independent,Not Significant,-0.4718308341733144,-0.7881057230592756,-0.15555594528735325,0.05287751705985189,-1.269790008065135,1.3755450421848388
Flavin (2011),Republican,Not Significant,-0.6894568781532426,-0.9744701917116187,-0.4044435645948666,-0.7798912226598012,-1.048410554779629,-0.5113718905399733
Flavin (2011),Nonwhite,Not Significant,-0.5397028117483842,-0.7772657397435966,-0.3021398837531718,-0.7076855132924149,-1.0415553164503943,-0.37381571013443554
Flavin (2011),White,Significant,-0.39333509872487166,-0.5378362474844671,-0.24883394996527625,-0.7501165172773399,-0.9521862472989894,-0.5480467872556903
Hopkins and Mummolo (2017),Age: 18 - 39,Not Significant,-0.17919753708532044,-0.2684220121986289,-0.08997306197201199,-0.186997857574556,-0.33486661731149614,-0.03912909783761584
Hopkins and Mummolo (2017),Age: 40 - 59,Not Significant,-0.24546189656770712,-0.3918666258405414,-0.09905716729487284,-0.15835294390055257,-0.29969997370280577,-0.01700591409829935
Hopkins and Mummolo (2017),Age: More than 60,Not Significant,-0.362633674423705,-0.6605976660581807,-0.06466968278922924,-0.14084201001690627,-0.3041823365790959,0.02249831654528333
Hopkins and Mummolo (2017),College,Significant,-0.2665937202227378,-0.3872027972341335,-0.14598464321134214,0.01194850994705593,-0.1896679040043636,0.21356492389847548
Hopkins and Mummolo (2017),Graduate School,Not Significant,-0.273069774693892,-0.466138372789731,-0.08000117659805292,-0.1418664930639903,-0.391127365303272,0.10739437917529136
Hopkins and Mummolo (2017),Less than College,Not Significant,-0.15850331485159008,-0.26613180711237355,-0.05087482259080661,-0.20862382121793072,-0.31481125805475274,-0.10243638438110872
Hopkins and Mummolo (2017),Men,Not Significant,-0.22672670615258467,-0.34313652715168286,-0.11031688515348648,-0.19654745148374236,-0.3229046489569157,-0.07019025401056905
Hopkins and Mummolo (2017),Women,Not Significant,-0.20746594424237663,-0.30330573962930796,-0.11162614885544538,-0.12431047712639356,-0.24570012620975704,-0.00292082804303005
Hopkins and Mummolo (2017),Conservative,Not Significant,-0.25882882868049173,-0.445407258249082,-0.07225039911190148,-0.1432733172234001,-0.2999845146523108,0.01343788020551065
