appendix_table,study_label,sample,covariate_class,cate,se,p_value,ci_low,ci_high,n,prop,n_deposit_formula,prop_deposit_formula
4,Caprariello and Reis (2013),mt,Age: 18 - 39,-0.14066558319311098,0.06165604066801917,0.02273262499781321,-0.2616568237422455,-0.01967434264397641,994,0.7753510140405616,994,0.3876755070202808
4,Caprariello and Reis (2013),mt,Age: 40 - 59,-0.06519153477588255,0.12692072916251718,0.6079783840816382,-0.31521768058083877,0.18483461102907364,241,0.18798751950078002,241,0.09399375975039001
4,Caprariello and Reis (2013),mt,Age: More than 60,-0.19441667121931855,0.288768800808969,0.50422472797110085,-0.7760268915317212,0.387193549093084,47,0.036661466458658344,47,0.018330733229329172
4,Caprariello and Reis (2013),mt,Party ID: Democrat,-0.07611515656226037,0.06803401452313469,0.2635719694250858,-0.20966294812357683,0.0574326349990561,796,0.6209048361934477,796,0.31045241809672386
4,Caprariello and Reis (2013),mt,Party ID: Independent,-0.23942053029786453,0.16457288571143736,0.14769614813193724,-0.5644513563021673,0.08561029570643819,161,0.12558502340093602,161,0.06279251170046801
4,Caprariello and Reis (2013),mt,Party ID: Republican,-0.1889922971611223,0.10862881443819274,0.08284684841952923,-0.4027016317874791,0.02471703746523443,325,0.2535101404056162,325,0.1267550702028081
4,Caprariello and Reis (2013),mt,Race: White,-0.14666328630822567,0.06135242418173002,0.01701571472969932,-0.26706252489931104,-0.02626404771714031,969,0.7558502340093604,969,0.3779251170046802
4,Caprariello and Reis (2013),mt,Race: Nonwhite,-0.0640540348922667,0.11745105826683934,0.585891438903732,-0.29515321926734195,0.16704514948280852,313,0.24414976599063962,313,0.12207488299531981
4,Caprariello and Reis (2013),mt,Education: Less than College,-0.14989659619853127,0.07525703437418414,0.04677998388349709,-0.2976520581325999,-0.00214113426446266,705,0.5499219968798752,705,0.2749609984399376
4,Caprariello and Reis (2013),mt,Education: College,-0.07055058365589928,0.08780363640572333,0.422113361510589,-0.24311293914255025,0.10201177183075166,446,0.34789391575663026,446,0.17394695787831513
4,Caprariello and Reis (2013),mt,Education: Graduate School,-0.1821605153594941,0.17505344421018915,0.30000788070682405,-0.528508042047149,0.1641870113281608,131,0.10218408736349453,131,0.051092043681747266
4,Caprariello and Reis (2013),mt,Gender: Male,-0.06183635141492646,0.07778869904907393,0.4269630242501723,-0.21460053026124307,0.09092782743139012,616,0.48049921996879874,616,0.24024960998439937
4,Caprariello and Reis (2013),mt,Gender: Female,-0.1944545404392763,0.07628075895028422,0.01102093192331129,-0.3442350977780456,-0.04467398310050696,666,0.5195007800312013,666,0.25975039001560063
4,Caprariello and Reis (2013),mt,Ideology: Liberal,-0.07098199510069754,0.0706280143615867,0.31522922075065823,-0.20964377597816175,0.06767978577676668,721,0.5624024960998439,721,0.28120124804992197
4,Caprariello and Reis (2013),mt,Ideology: Moderate,-0.2806097765592767,0.1172491459661424,0.01731935604062822,-0.5113541641850761,-0.04986538893347736,299,0.23322932917316694,299,0.11661466458658347
4,Caprariello and Reis (2013),mt,Ideology: Conservative,-0.10242589531459408,0.12499722783067012,0.41329427933507634,-0.3485616869728138,0.14370989634362563,262,0.20436817472698907,262,0.10218408736349453
5,Chong and Druckman (2010),original,Age: 18 - 39,0.6784710206546383,0.12150812469550408,6.637867278260204e-8,0.4390541720150555,0.9178878692942212,231,0.24112734864300625,231,0.12056367432150313
5,Chong and Druckman (2010),original,Age: 40 - 59,0.8774118559956556,0.09352774175577735,6.159208176255117e-19,0.6935120325788225,1.0613116794124888,380,0.3966597077244259,380,0.19832985386221294
5,Chong and Druckman (2010),original,Age: More than 60,0.8074139806670927,0.108624420134988,8.447556963994658e-13,0.5937645290804399,1.0210634322537455,347,0.36221294363256784,347,0.18110647181628392
5,Chong and Druckman (2010),original,Party ID: Democrat,0.7466667639411999,0.09328078035589164,1.2407939424935714e-14,0.5632998199770852,0.9300337079053146,413,0.4311064718162839,413,0.21555323590814196
5,Chong and Druckman (2010),original,Party ID: Independent,0.8916057296697807,0.12661681970287852,2.631346397638805e-11,0.642009709693469,1.1412017496460922,213,0.22233820459290188,213,0.11116910229645094
5,Chong and Druckman (2010),original,Party ID: Republican,0.809542796156478,0.10050396998403724,1.4658897911116032e-14,0.6118335296758273,1.0072520626371286,332,0.3465553235908142,332,0.1732776617954071
