study,study_label,covariate,group,estimate_mt,estimate_original,std.error_mt,std.error_original,conf.low_mt,conf.low_original,conf.high_mt,conf.high_original,p.value_mt,p.value_original,significant_mt,significant_original,group_label,est_diff_in_cates,std.error_diff_in_cates,li_diff_in_cates,ui_diff_in_cates,p_diff_in_cates,diff_in_cates_significant
immigration,Brader (2005),educ,educ_3_Graduate School,0.5087145616083775,1.1088912883210247,0.15793334316617197,0.5024546224766478,0.19734160489476127,0.0779395607768576,0.8200875183219937,2.1398430158651918,0.0014842731336491184,0.036004513457283414,1,1,Graduate School,-0.6001767267126472,0.5266911699770508,-1.6324914198676668,0.43213796644237235,0.2544850613004739,FALSE
immigration,Brader (2005),educ,educ_3_Less than College,0.26997190346551914,0.23313587786744383,0.08585402336612206,0.20338179477007398,0.1014611633644261,-0.1680269817271624,0.43848264356661215,0.6342987374620501,0.0017212582897959843,0.25310647158108274,1,0,Less than College,0.036836025598075306,0.2207602042308512,-0.395853974694393,0.4695260258905436,0.8674802859057181,FALSE
immigration,Brader (2005),female,female_0,0.19463059354234893,0.3362020692989226,0.08524965824338304,0.24908467904737613,0.027298248637073974,-0.15651204586573303,0.3619629384476239,0.8289161844635782,0.02268065383608752,0.1794063449277542,1,0,Men,-0.14157147575657367,0.2632692187984535,-0.6575791446015425,0.37443619308839515,0.5907537115463204,FALSE
immigration,Brader (2005),female,female_1,0.4217117310086521,0.608408675968913,0.08023342781828598,0.2528675381549996,0.26424101089023627,0.10859700509381426,0.579182451127068,1.1082203468440117,1.8469985196757478e-7,0.017395054567596505,1,1,Women,-0.1866969449602609,0.2652911509870661,-0.7066676008949105,0.33327371097438874,0.4815924738354358,FALSE
immigration,Brader (2005),pid,pid_3_Democrat,0.30490258103577644,0.5506024952379183,0.06799152417577643,0.31116649191277435,0.17148667246669408,-0.0663153395815248,0.4383184896048588,1.1675203300573613,8.122169854271511e-6,0.07968976410854069,1,0,Democrat,-0.24569991420214182,0.31850813655077614,-0.8699758618416631,0.3785760334373794,0.44046478198721295,FALSE
immigration,Brader (2005),pid,pid_3_Independent,0.46584087208617114,0.4584384186207675,0.15535791552126627,0.2517163726153907,0.15996363638655603,-0.04666743626962355,0.7717181077857862,0.9635442735111586,0.0029679889965905657,0.07432397419455412,1,0,Independent,0.007402453465403636,0.29579928018466023,-0.5723641356965303,0.5871690426273377,0.9800348165060969,FALSE
immigration,Brader (2005),pid,pid_3_Republican,0.25873517617630687,0.5548038965805723,0.12672538946850348,0.28183614784732186,0.009590701499629789,-0.003408106278737666,0.5078796508529839,1.1130158994398822,0.041848598343492464,0.05139192992358469,1,0,Republican,-0.2960687204042654,0.30901608140898,-0.9017402399658663,0.3096027991573354,0.33801166192712745,FALSE
immigration,Brader (2005),white,white_1,0.30649739278647276,0.47154906911988964,0.0684127630675265,0.175099384902543,0.17228501358960882,0.12685998100053147,0.4407097719833367,0.8162381572392479,8.120247025312044e-6,0.007510530650217469,1,1,White,-0.16505167633341689,0.18798962935168106,-0.5335113498627118,0.203407997195878,0.37995300907020135,FALSE
jacobsenS7,"Jacobsen, Snyder and Saultz (2014)",age,age_3_18 - 39,0.4697931130482346,0.42820685252129703,0.053816368818667054,0.1696533314030027,0.36414401873269686,0.09350289372175608,0.5754422073637724,0.762910811320838,1.6532562182794308e-17,0.012443619045113112,1,1,Age: 18 - 39,0.04158626052693759,0.17798442181540458,-0.30726320623125536,0.39043572728513054,0.8152558334746733,FALSE
jacobsenS7,"Jacobsen, Snyder and Saultz (2014)",age,age_3_40 - 59,0.4607701935605311,0.47380583408119975,0.1326806464436479,0.1437054280493579,0.19916126214127539,0.19042497479476916,0.7223791249797868,0.7571866933676303,6.294396120949193e-4,0.001157076182822333,1,1,Age: 40 - 59,-0.013035640520668634,0.19558988724255016,-0.39639181951606695,0.3703205384747297,0.9468620717411046,FALSE
